type,type,type,type,type,parent,labelfor,dimensionType,classificationType,dataType,dataFormat,uniqueIdentifier,constraints
functional-classification,dimension,level1,code,full,,,classification,functional,string,,y,
,,,,part,,,classification,functional,string,,y,
,,,label,,,functional-classification:dimension:level1:code,classification,functional,string,,,
,,,description,,,,classification,functional,string,,,
,,level2,code,full,functional-classification:dimension:level1:code,,classification,functional,string,,y,
,,,,part,functional-classification:dimension:level1:code,,classification,functional,string,,y,
,,,label,,,functional-classification:dimension:level2:code,classification,functional,string,,,
,,,description,,,,classification,functional,string,,,
,,level3,code,full,functional-classification:dimension:level2:code,,classification,functional,string,,y,
,,,,part,functional-classification:dimension:level2:code,,classification,functional,string,,y,
,,,label,,,functional-classification:dimension:level3:code,classification,functional,string,,,
,,,description,,,,classification,functional,string,,,
,,level4,code,full,functional-classification:dimension:level3:code,,classification,functional,string,,y,
,,,,part,functional-classification:dimension:level3:code,,classification,functional,string,,y,
,,,label,,,functional-classification:dimension:level4:code,classification,functional,string,,,
,,,description,,,,classification,functional,string,,,
,,code,full,,,,classification,functional,string,,y,
,,,part,,,,classification,functional,string,,y,
,,label,,,,,classification,functional,string,,,
,,description,,,,,classification,functional,string,,,
administrative-classification,dimension,level1,code,full,,,classification,administrative,string,,y,
,,,,part,,,classification,administrative,string,,y,
,,,label,,,administrative-classification:dimension:level1:code,classification,administrative,string,,,
,,,description,,,,classification,administrative,string,,,
,,level2,code,full,administrative-classification:dimension:level1:code,,classification,administrative,string,,y,
,,,,part,administrative-classification:dimension:level1:code,,classification,administrative,string,,y,
,,,label,,,administrative-classification:dimension:level2:code,classification,administrative,string,,,
,,,description,,,,classification,administrative,string,,,
,,level3,code,full,administrative-classification:dimension:level2:code,,classification,administrative,string,,y,
,,,,part,administrative-classification:dimension:level2:code,,classification,administrative,string,,y,
,,,label,,,administrative-classification:dimension:level3:code,classification,administrative,string,,,
,,,description,,,,classification,administrative,string,,,
,,level4,code,full,administrative-classification:dimension:level3:code,,classification,administrative,string,,y,
,,,,part,administrative-classification:dimension:level3:code,,classification,administrative,string,,y,
,,,label,,,administrative-classification:dimension:level4:code,classification,administrative,string,,,
,,,description,,,,classification,administrative,string,,,
,,code,full,,,,classification,administrative,string,,y,
,,,part,,,,classification,administrative,string,,y,
,,label,,,,administrative-classification:dimension:label,classification,administrative,string,,,
,,description,,,,,classification,administrative,string,,,
economic-classification,dimension,level1,code,,,,classification,economic,string,,y,
,,,label,,,economic-classification:dimension:level1:code,classification,economic,string,,y,
,,,description,,,,classification,economic,string,,,
,,level2,code,,economic-classification:dimension:level1:code,,classification,economic,string,,y,
,,,label,,,economic-classification:dimension:level2:code,classification,economic,string,,y,
,,,description,,,,classification,economic,string,,,
,,level3,code,,economic-classification:dimension:level2:code,,classification,economic,string,,y,
,,,label,,,economic-classification:dimension:level3:code,classification,economic,string,,y,
,,,description,,,,classification,economic,string,,,
,,level4,code,,economic-classification:dimension:level3:code,,classification,economic,string,,y,
,,,label,,,economic-classification:dimension:level4:code,classification,economic,string,,y,
,,,description,,,,classification,economic,string,,,
programm-classification,dimension,level1,code,full,,,classification,programm,string,,y,
,,,,part,,,classification,programm,string,,y,
,,,label,,,programm-classification:dimension:level1:code,classification,programm,string,,,
,,,description,,,,classification,programm,string,,,
,,level2,code,full,programm-classification:dimension:level1:code,,classification,programm,string,,y,
,,,,part,programm-classification:dimension:level1:code,,classification,programm,string,,y,
,,,label,,,programm-classification:dimension:level2:code,classification,programm,string,,,
,,,description,,,,classification,programm,string,,,
,,level3,code,full,programm-classification:dimension:level2:code,,classification,programm,string,,y,
,,,,part,programm-classification:dimension:level2:code,,classification,programm,string,,y,
,,,label,,,programm-classification:dimension:level3:code,classification,programm,string,,,
,,,description,,,,classification,programm,string,,,
,,level4,code,full,programm-classification:dimension:level3:code,,classification,programm,string,,y,
,,,,part,programm-classification:dimension:level3:code,,classification,programm,string,,y,
,,,label,,,programm-classification:dimension:level4:code,classification,programm,string,,,
,,,description,,,,classification,programm,string,,,
,,code,full,,,,classification,programm,string,,y,
,,,part,,,,classification,programm,string,,y,
,,label,,,,,classification,programm,string,,,
,,description,,,,,classification,programm,string,,,
amount,measure,,,,,,,,number,,,
currency,attribute,id,,,,,entity,,string,,y,
,,name,,,,,entity,,string,,,
,dimension,id,,,,,entity,,string,,y,
, ,name,,,,,entity,,string,,,
location,attribute,id,,,,,entity,,string,,y,
,,name,,,,,entity,,string,,,
taxesIncluded,attribute,id,,,,,other,,string,,y,
,,code,,,,,other,,string,,,
,dimension,id,,,,,other,,string,,y,
,,code,,,,,other,,string,,,
budgetaryUnit,dimension,id,,,,,entity,,string,,y,
,,name,,,,,entity,,string,,,
fiscalYear,dimension, ,,,,,datetime,,integer,,y,
,, ,,,,,datetime,,date,,y,
fiscalPeriod,dimension,,,,,,datetime,,string,,y,
direction,,,,,,,other,,string,,y,
operationCharacter,dimension,expenditure,,,,,other,,string,, ,
,,revenue,,,,,other,,string,, ,
budgetPhase,dimension,draft,,,,,other,,string,, ,
 ,,revised,,,,,other,,string, , ,
,,approved,,,,,other,,string,, ,
,,executed,,,,,other,,string,, ,
budgetLine,dimension,,,,,,fact,,string,,y,
date,dimension,fiscalPeriod,,,,,datetime,,string,,y,
organization,dimension,id,,,,,entity,,string,,y,
,,name,,,,,entity,,string,,, 
partner,dimension,id,,,,,entity,,string,,y,
,,name,,,,,entity,,string,,,
project,dimension,id,,,,,entity,,string,,y,
,,name,,,,,entity,,string,,,
accountingRrecord,dimension,,,,,,fact,,string,,y,
